Head,Relation,Tail,Head_des,Tail_des,Relation_des,,,,
tien_giang,co_mon_an_dac_san,hu_tieu_my_tho,"Tiền Giang là một tỉnh ven biển thuộc đồng bằng sông Cửu Long, Việt Nam.Phần lớn diện tích của tỉnh thuộc địa bàn tỉnh Mỹ Tho cũ. Tuy nhiên, cũng có thời kỳ toàn bộ diện tích tỉnh Tiền Giang ngày nay đều thuộc tỉnh Mỹ Tho, bao gồm cả vùng Gò Công. Tiền Giang là tỉnh vừa thuộc Vùng đồng bằng sông Cửu Long, vừa nằm trong Vùng kinh tế trọng điểm phía Nam. Tỉnh lỵ của Tiền Giang hiện nay là thành phố Mỹ Tho, nằm cách Thành phố Hồ Chí Minh 70 km về phía Bắc và cách Thành phố Cần Thơ 100 km về phía Nam theo đường Quốc lộ 1A.","Hủ tiếu Mỹ Tho là loại hủ tiếu do người Mỹ Tho chế biến, nguyên liệu chính là hủ tiếu khô, nước dùng chính là thịt bằm nhỏ, lòng heo nấu cùng xương tủy heo. Sau đó trụng sơ mì với nước dùng và cho các nguyên liệu phụ vào như giá, hẹ, thịt bằm cùng lòng heo vào. Năm 2009, Hủ tiếu Mỹ Tho của Tổ hợp tác sản xuất hủ tiếu Mỹ Tho (ấp Hội Gia, xã Mỹ Phong, thành phố Mỹ Tho, Tiền Giang) được Trung tâm Thương hiệu Việt, thuộc Hội liên hiệp Khoa học và Kỹ thuật Việt Nam, cấp giấy chứng nhận ""Thương hiệu Việt"".",co mon an dac san,,,,co_mon_an_dac_san
tien_giang,co_mon_an_dac_san,banh_gia,"Tiền Giang là một tỉnh ven biển thuộc đồng bằng sông Cửu Long, Việt Nam.Phần lớn diện tích của tỉnh thuộc địa bàn tỉnh Mỹ Tho cũ. Tuy nhiên, cũng có thời kỳ toàn bộ diện tích tỉnh Tiền Giang ngày nay đều thuộc tỉnh Mỹ Tho, bao gồm cả vùng Gò Công. Tiền Giang là tỉnh vừa thuộc Vùng đồng bằng sông Cửu Long, vừa nằm trong Vùng kinh tế trọng điểm phía Nam. Tỉnh lỵ của Tiền Giang hiện nay là thành phố Mỹ Tho, nằm cách Thành phố Hồ Chí Minh 70 km về phía Bắc và cách Thành phố Cần Thơ 100 km về phía Nam theo đường Quốc lộ 1A.","Bánh giá là một món ăn đặc sản nổi tiếng xuất xứ từ Chợ Giồng (Gò Công Tây) ở vùng Gò Công, Tiền Giang. Cũng vì xuất xứ đó mà người ta thường gọi là Bánh giá Chợ Giồng. Theo lời truyền miệng của cư dân, nghề làm bánh giá xuất hiện cùng lúc với quá trình khai hoang lập ấp của người Việt ở vùng đất này vào thế kỷ XVII.Loại bánh này có sức ảnh hưởng sâu đậm trong văn hóa vùng Chợ Giồng nói riêng và vùng Gò Công, Tiền Giang nói chung.Cái vá là vật dụng dùng định hình cho loại bánh này, người địa phương đọc trại ""vá"" thành ""giá"" từ đó trở thành tên gọi của bánh là bánh giá.",co mon an dac san,,,,
tien_giang,co_mon_an_dac_san,vu_sua,"Tiền Giang là một tỉnh ven biển thuộc đồng bằng sông Cửu Long, Việt Nam.Phần lớn diện tích của tỉnh thuộc địa bàn tỉnh Mỹ Tho cũ. Tuy nhiên, cũng có thời kỳ toàn bộ diện tích tỉnh Tiền Giang ngày nay đều thuộc tỉnh Mỹ Tho, bao gồm cả vùng Gò Công. Tiền Giang là tỉnh vừa thuộc Vùng đồng bằng sông Cửu Long, vừa nằm trong Vùng kinh tế trọng điểm phía Nam. Tỉnh lỵ của Tiền Giang hiện nay là thành phố Mỹ Tho, nằm cách Thành phố Hồ Chí Minh 70 km về phía Bắc và cách Thành phố Cần Thơ 100 km về phía Nam theo đường Quốc lộ 1A.","Cây vú sữa có tên khoa học là Chrysophyllum cainino, thuộc họ Hồng xiêm (Sapotaceae) (trước đây vú sữa được coi là thuộc bộ Thị: Ebenales). Cây vú sữa có nguồn gốc ở đảo Antilles và châu Mỹ nhiệt đới. Đây là loại cây trồng lớn nhanh, thân dẻo, tán lá rộng, chiều cao lên tới từ 10 - 15 mét. Trái vú sữa to khoảng một nắm tay, da màu xanh, khi chín chuyển sang màu hồng nhạt, ăn rất ngon. Cây vú sữa còn được đưa vào danh mục cây trồng làm cảnh trong khu nhà biệt thự của các thành phố.",co mon an dac san,,,,
tien_giang,co_mon_an_dac_san,oc_gao_tan_phong,"Tiền Giang là một tỉnh ven biển thuộc đồng bằng sông Cửu Long, Việt Nam.Phần lớn diện tích của tỉnh thuộc địa bàn tỉnh Mỹ Tho cũ. Tuy nhiên, cũng có thời kỳ toàn bộ diện tích tỉnh Tiền Giang ngày nay đều thuộc tỉnh Mỹ Tho, bao gồm cả vùng Gò Công. Tiền Giang là tỉnh vừa thuộc Vùng đồng bằng sông Cửu Long, vừa nằm trong Vùng kinh tế trọng điểm phía Nam. Tỉnh lỵ của Tiền Giang hiện nay là thành phố Mỹ Tho, nằm cách Thành phố Hồ Chí Minh 70 km về phía Bắc và cách Thành phố Cần Thơ 100 km về phía Nam theo đường Quốc lộ 1A.","Ốc gạo (Danh pháp khoa học: Assiminea lutea) là một loài động vật thuộc họ ốc phân bố ở khắp miền Đồng bằng sông Cửu Long của Việt Nam và tập trung ở một số vùng như cù lao Tân Phong thuộc Tiền Giang, cồn Phú Đa thuộc huyện Chợ Lách tỉnh Bến Tre, Sa Đéc ở vùng Đồng Tháp, Cần Thơ, ốc gạo sinh sản nhiều lưu vực sông Cồn Bầu, Cồn Tre, Cồn Tròn, Ba Rái. Ốc gạo nổi tiếng nhất là ốc gạo Phú Đa trên dòng Cổ Chiên, đoạn qua xã Vĩnh Bình, huyện Chợ Lách.",co mon an dac san,,,,
tien_giang,co_mon_an_dac_san,sam_bien_go_cong,"Tiền Giang là một tỉnh ven biển thuộc đồng bằng sông Cửu Long, Việt Nam.Phần lớn diện tích của tỉnh thuộc địa bàn tỉnh Mỹ Tho cũ. Tuy nhiên, cũng có thời kỳ toàn bộ diện tích tỉnh Tiền Giang ngày nay đều thuộc tỉnh Mỹ Tho, bao gồm cả vùng Gò Công. Tiền Giang là tỉnh vừa thuộc Vùng đồng bằng sông Cửu Long, vừa nằm trong Vùng kinh tế trọng điểm phía Nam. Tỉnh lỵ của Tiền Giang hiện nay là thành phố Mỹ Tho, nằm cách Thành phố Hồ Chí Minh 70 km về phía Bắc và cách Thành phố Cần Thơ 100 km về phía Nam theo đường Quốc lộ 1A.","Núi Sam có tên khác Vĩnh Tế Sơn hay Ngọc Lãnh Sơn cao 284 m có chu vi 5.200m, trước thuộc xã Vĩnh Tế, nay thuộc phường Núi Sam, thành phố Châu Đốc, tỉnh An Giang, Việt Nam.Trên và quanh núi Sam có rất nhiều chùa miếu, trong đó nổi tiếng nhất là Miếu Bà chúa Xứ, Chùa Tây An, lăng Thoại Ngọc Hầu, Chùa Phước Điền (còn gọi Chùa Hang) là những hạng mục trong Khu di tích lịch sử - Văn hoá núi Sam đã được Bộ Văn hóa, Thể thao và Du lịch Việt Nam công nhận là di tích cấp Quốc gia.",co mon an dac san,,,,
ben_tre,co_mon_an_dac_san,keo_dua,"Bến Tre là một tỉnh thuộc vùng Đồng bằng sông Cửu Long, Việt Nam.Năm 2018, Bến Tre là đơn vị hành chính Việt Nam đông thứ 28 về số dân, xếp thứ 46 về Tổng sản phẩm trên địa bàn (GRDP), xếp thứ 58 về GRDP bình quân đầu người, đứng thứ 54 về tốc độ tăng trưởng GRDP. Với 1.268.200 người dân, GRDP đạt 41.831 tỉ Đồng (tương ứng với 1,8176 tỉ USD), GRDP bình quân đầu người đạt 33,00 triệu đồng (tương ứng với 1.433 USD), tốc độ tăng trưởng GRDP đạt 7,05%.Trước kia, tỉnh Bến Tre là vùng hoang vu, một thời gian sau đó có một vài nhóm người đến định cư và thường tập trung nơi đất cao trên các giồng và ven biển, hoặc dọc theo các đê sông, rạch, thuận tiện cho việc đi lại, sinh sống và tránh lũ lụt. Càng ngày số người đến định cư ngày càng đông, chính sự di cư này kèm theo sự gia tăng dân số, làm cho diện tích rừng ngày càng thu hẹp. Bến Tre ngày trước được người Cam Bốt gọi là Sóc Tre (xứ tre) vì nhiều giồng phủ tre nằm rải rác trong tỉnh. Về sau người An Nam lập nên một cái chợ mà họ gọi là Bến Tre. Con rạch chảy ngang trước chợ và đổ vào Sông Hàm Luông nên cũng mang tên này.Bến Tre cũng là quê hương của Đạo Dừa, với biệt danh là ""Xứ Dừa"". Từ thời Chiến tranh Việt Nam, Bến Tre được coi là ""quê hương Đồng khởi"", mở đầu cho cao trào đấu tranh vũ trang của Mặt trận Dân tộc giải phóng miền Nam chống chế độ Ngô Đình Diệm, khốc liệt nhất là trong năm 1960.","Dừa, hay cọ dừa, (danh pháp hai phần: Cocos nucifera), là một loài cây trong họ Cau (Arecaceae). Nó cũng là thành viên duy nhất trong chi Cocos và là một loại cây lớn, thân đơn trục (nhiều khi gọi là nhóm thân cau dừa) có thể cao tới 30 m, với các lá đơn xẻ thùy lông chim 1 lần, cuống và gân chính dài 4–6 m các thùy với gân cấp 2 có thể dài 60–90 cm; lá kèm thường biến thành bẹ dạng lưới ôm lấy thân; các lá già khi rụng để lại vết sẹo trên thân.",co mon an dac san,,,,
ben_tre,co_mon_an_dac_san,com_dua,"Bến Tre là một tỉnh thuộc vùng Đồng bằng sông Cửu Long, Việt Nam.Năm 2018, Bến Tre là đơn vị hành chính Việt Nam đông thứ 28 về số dân, xếp thứ 46 về Tổng sản phẩm trên địa bàn (GRDP), xếp thứ 58 về GRDP bình quân đầu người, đứng thứ 54 về tốc độ tăng trưởng GRDP. Với 1.268.200 người dân, GRDP đạt 41.831 tỉ Đồng (tương ứng với 1,8176 tỉ USD), GRDP bình quân đầu người đạt 33,00 triệu đồng (tương ứng với 1.433 USD), tốc độ tăng trưởng GRDP đạt 7,05%.Trước kia, tỉnh Bến Tre là vùng hoang vu, một thời gian sau đó có một vài nhóm người đến định cư và thường tập trung nơi đất cao trên các giồng và ven biển, hoặc dọc theo các đê sông, rạch, thuận tiện cho việc đi lại, sinh sống và tránh lũ lụt. Càng ngày số người đến định cư ngày càng đông, chính sự di cư này kèm theo sự gia tăng dân số, làm cho diện tích rừng ngày càng thu hẹp. Bến Tre ngày trước được người Cam Bốt gọi là Sóc Tre (xứ tre) vì nhiều giồng phủ tre nằm rải rác trong tỉnh. Về sau người An Nam lập nên một cái chợ mà họ gọi là Bến Tre. Con rạch chảy ngang trước chợ và đổ vào Sông Hàm Luông nên cũng mang tên này.Bến Tre cũng là quê hương của Đạo Dừa, với biệt danh là ""Xứ Dừa"". Từ thời Chiến tranh Việt Nam, Bến Tre được coi là ""quê hương Đồng khởi"", mở đầu cho cao trào đấu tranh vũ trang của Mặt trận Dân tộc giải phóng miền Nam chống chế độ Ngô Đình Diệm, khốc liệt nhất là trong năm 1960.","Dừa sáp, còn gọi là dừa đặc ruột, dừa kem, makapuno (Philippines) là một phân loài dừa có quả đặc ruột, cơm dừa dày, mềm dẻo và béo hơn trái dừa thường, nước dừa đặc lại trong veo như sương sa. Là đặc sản duy nhất chỉ có ở Trà Vinh, Việt Nam, dừa được trồng nhiều ở giồng Cây Xanh, cách thị trấn Cầu Kè (Trà Vinh) khoảng 4 km.",co mon an dac san,,,,
ben_tre,co_mon_an_dac_san,banh_trang_my_long,"Bến Tre là một tỉnh thuộc vùng Đồng bằng sông Cửu Long, Việt Nam.Năm 2018, Bến Tre là đơn vị hành chính Việt Nam đông thứ 28 về số dân, xếp thứ 46 về Tổng sản phẩm trên địa bàn (GRDP), xếp thứ 58 về GRDP bình quân đầu người, đứng thứ 54 về tốc độ tăng trưởng GRDP. Với 1.268.200 người dân, GRDP đạt 41.831 tỉ Đồng (tương ứng với 1,8176 tỉ USD), GRDP bình quân đầu người đạt 33,00 triệu đồng (tương ứng với 1.433 USD), tốc độ tăng trưởng GRDP đạt 7,05%.Trước kia, tỉnh Bến Tre là vùng hoang vu, một thời gian sau đó có một vài nhóm người đến định cư và thường tập trung nơi đất cao trên các giồng và ven biển, hoặc dọc theo các đê sông, rạch, thuận tiện cho việc đi lại, sinh sống và tránh lũ lụt. Càng ngày số người đến định cư ngày càng đông, chính sự di cư này kèm theo sự gia tăng dân số, làm cho diện tích rừng ngày càng thu hẹp. Bến Tre ngày trước được người Cam Bốt gọi là Sóc Tre (xứ tre) vì nhiều giồng phủ tre nằm rải rác trong tỉnh. Về sau người An Nam lập nên một cái chợ mà họ gọi là Bến Tre. Con rạch chảy ngang trước chợ và đổ vào Sông Hàm Luông nên cũng mang tên này.Bến Tre cũng là quê hương của Đạo Dừa, với biệt danh là ""Xứ Dừa"". Từ thời Chiến tranh Việt Nam, Bến Tre được coi là ""quê hương Đồng khởi"", mở đầu cho cao trào đấu tranh vũ trang của Mặt trận Dân tộc giải phóng miền Nam chống chế độ Ngô Đình Diệm, khốc liệt nhất là trong năm 1960.","Bánh tráng Mỹ Lồng có nguồn gốc từ Bến Tre, đây là đặc sản, là niềm tự hào của người dân xứ dừa. Các loại bánh tráng dừa ở Mỹ Lồng nổi tiếng vừa béo vừa xốp, đặt lên lò than tỏa hương thơm lừng. Có ba loại bánh tráng dừa, đó là: bánh đặc biệt có sữa, trứng gà, dừa; bánh có dừa không sữa; bánh có sữa không dừa... Bánh tráng Mỹ Lồng qua bàn tay lao động của người dân Mỹ Lồng đã trở thành một thương hiệu bánh tráng nức tiếng.",co mon an dac san,,,,
ben_tre,co_mon_an_dac_san,banh_canh_bot_xat,"Bến Tre là một tỉnh thuộc vùng Đồng bằng sông Cửu Long, Việt Nam.Năm 2018, Bến Tre là đơn vị hành chính Việt Nam đông thứ 28 về số dân, xếp thứ 46 về Tổng sản phẩm trên địa bàn (GRDP), xếp thứ 58 về GRDP bình quân đầu người, đứng thứ 54 về tốc độ tăng trưởng GRDP. Với 1.268.200 người dân, GRDP đạt 41.831 tỉ Đồng (tương ứng với 1,8176 tỉ USD), GRDP bình quân đầu người đạt 33,00 triệu đồng (tương ứng với 1.433 USD), tốc độ tăng trưởng GRDP đạt 7,05%.Trước kia, tỉnh Bến Tre là vùng hoang vu, một thời gian sau đó có một vài nhóm người đến định cư và thường tập trung nơi đất cao trên các giồng và ven biển, hoặc dọc theo các đê sông, rạch, thuận tiện cho việc đi lại, sinh sống và tránh lũ lụt. Càng ngày số người đến định cư ngày càng đông, chính sự di cư này kèm theo sự gia tăng dân số, làm cho diện tích rừng ngày càng thu hẹp. Bến Tre ngày trước được người Cam Bốt gọi là Sóc Tre (xứ tre) vì nhiều giồng phủ tre nằm rải rác trong tỉnh. Về sau người An Nam lập nên một cái chợ mà họ gọi là Bến Tre. Con rạch chảy ngang trước chợ và đổ vào Sông Hàm Luông nên cũng mang tên này.Bến Tre cũng là quê hương của Đạo Dừa, với biệt danh là ""Xứ Dừa"". Từ thời Chiến tranh Việt Nam, Bến Tre được coi là ""quê hương Đồng khởi"", mở đầu cho cao trào đấu tranh vũ trang của Mặt trận Dân tộc giải phóng miền Nam chống chế độ Ngô Đình Diệm, khốc liệt nhất là trong năm 1960.","Bánh canh bột xắt chính là một trong những món ăn ngon đặc sản Bến Tre vô cùng nổi tiếng. Không biết món ăn độc đáo này ra đời từ khi nào, chỉ biết rằng mỗi khi đến với “xứ dừa” bất kỳ ai cũng muốn thưởng thức ngay một tô bánh canh bột xắt thơm lừng, nóng hổi..Sở dĩ có tên là bánh canh bột xắt Bến Tre vì các sợi bánh canh đều được xắt hoàn toàn bằng tay theo kiểu thủ công. Bánh canh bột xắt được làm từ bột gạo. Để có được sợi bánh canh ngon, người ta thường chọn loại gạo khô, không quá dẻo.",co mon an dac san,,,,
ben_tre,co_mon_an_dac_san,chuoi_dap,"Bến Tre là một tỉnh thuộc vùng Đồng bằng sông Cửu Long, Việt Nam.Năm 2018, Bến Tre là đơn vị hành chính Việt Nam đông thứ 28 về số dân, xếp thứ 46 về Tổng sản phẩm trên địa bàn (GRDP), xếp thứ 58 về GRDP bình quân đầu người, đứng thứ 54 về tốc độ tăng trưởng GRDP. Với 1.268.200 người dân, GRDP đạt 41.831 tỉ Đồng (tương ứng với 1,8176 tỉ USD), GRDP bình quân đầu người đạt 33,00 triệu đồng (tương ứng với 1.433 USD), tốc độ tăng trưởng GRDP đạt 7,05%.Trước kia, tỉnh Bến Tre là vùng hoang vu, một thời gian sau đó có một vài nhóm người đến định cư và thường tập trung nơi đất cao trên các giồng và ven biển, hoặc dọc theo các đê sông, rạch, thuận tiện cho việc đi lại, sinh sống và tránh lũ lụt. Càng ngày số người đến định cư ngày càng đông, chính sự di cư này kèm theo sự gia tăng dân số, làm cho diện tích rừng ngày càng thu hẹp. Bến Tre ngày trước được người Cam Bốt gọi là Sóc Tre (xứ tre) vì nhiều giồng phủ tre nằm rải rác trong tỉnh. Về sau người An Nam lập nên một cái chợ mà họ gọi là Bến Tre. Con rạch chảy ngang trước chợ và đổ vào Sông Hàm Luông nên cũng mang tên này.Bến Tre cũng là quê hương của Đạo Dừa, với biệt danh là ""Xứ Dừa"". Từ thời Chiến tranh Việt Nam, Bến Tre được coi là ""quê hương Đồng khởi"", mở đầu cho cao trào đấu tranh vũ trang của Mặt trận Dân tộc giải phóng miền Nam chống chế độ Ngô Đình Diệm, khốc liệt nhất là trong năm 1960.","Béo béo, ngọt ngọt, thơm lừng... không chỉ đơn giản là một món ăn chơi dân dã của “xứ dừa” mà chuối đập Bến Tre còn được xem là một món đặc sản độc đáo, là thành quả của sự kết hợp hài hòa đầy tinh tế giữa chuối và dừa. Đây đều là hai loại sản vật nổi tiếng của vùng đất Bến Tre.",co mon an dac san,,,,
